TG-43 Brachytherapy Source Data
-------------------------------
Reference: https://physics.carleton.ca/clrp/seed_database/Ir192_HDR/GammaMed_12i
Type: HDR
Nuclide: Ir-192
Vendor: GammaMed
Model: 12i
Dose Rate Constant: 1.117
Source Length (cm): 0.35

Radial Dose Function
--------------------
0.20,0.986,0.819
0.25,0.988,0.871
0.30,0.988,0.904
0.40,0.992,0.944
0.50,0.989,0.961
0.60,0.992,0.975
0.70,0.992,0.982
0.75,0.993,0.986
0.80,0.998,0.992
0.90,0.994,0.992
1.00,1.000,1.000
1.25,0.998,1.001
1.50,0.999,1.005
1.75,1.001,1.007
2.00,1.002,1.009
2.50,1.002,1.011
3.00,1.004,1.013
3.50,1.004,1.013
4.00,1.003,1.013
4.50,1.001,1.011
5.00,0.997,1.007
6.00,0.991,1.000
7.00,0.982,0.992
8.00,0.967,0.977
9.00,0.954,0.964
10.00,0.937,0.947
11.00,0.917,0.927
12.00,0.896,0.905
13.00,0.873,0.882
14.00,0.848,0.856
15.00,0.822,0.830
16.00,0.796,0.804
17.00,0.768,0.776
18.00,0.739,0.747
19.00,0.710,0.717
20.00,0.684,0.691
end radial dose function data

Anisotropy Function
-------------------
0,0.25,0.50,1.00,2.00,3.00,4.00,5.00,7.50,10.00,12.50,15.00,20.00
0,-,0.654,0.617,0.625,0.646,0.670,0.693,0.734,0.768,0.796,0.818,0.845
1,-,0.653,0.612,0.628,0.651,0.674,0.698,0.740,0.774,0.799,0.819,0.846
2,-,0.652,0.614,0.637,0.662,0.685,0.709,0.748,0.780,0.805,0.824,0.848
3,-,0.652,0.628,0.650,0.675,0.696,0.718,0.757,0.788,0.810,0.830,0.852
5,-,0.666,0.651,0.673,0.695,0.715,0.734,0.770,0.796,0.817,0.836,0.856
7,-,0.691,0.678,0.697,0.718,0.735,0.755,0.786,0.813,0.829,0.846,0.866
10,-,0.726,0.715,0.735,0.753,0.770,0.786,0.812,0.833,0.848,0.862,0.878
12,-,0.751,0.744,0.760,0.776,0.790,0.803,0.827,0.847,0.859,0.872,0.885
15,-,0.791,0.780,0.795,0.808,0.819,0.832,0.850,0.866,0.876,0.886,0.897
20,-,0.844,0.835,0.844,0.854,0.862,0.872,0.882,0.894,0.900,0.909,0.918
25,-,0.884,0.869,0.880,0.887,0.892,0.898,0.905,0.914,0.920,0.926,0.933
30,-,0.908,0.897,0.907,0.911,0.914,0.918,0.926,0.929,0.935,0.941,0.941
35,-,0.933,0.923,0.929,0.933,0.937,0.940,0.944,0.948,0.949,0.955,0.955
40,-,0.951,0.937,0.946,0.948,0.950,0.955,0.955,0.956,0.959,0.962,0.963
45,-,0.961,0.955,0.959,0.962,0.964,0.968,0.967,0.970,0.968,0.972,0.970
50,-,0.973,0.965,0.970,0.971,0.972,0.978,0.975,0.976,0.976,0.978,0.976
55,0.986,0.980,0.970,0.978,0.979,0.980,0.982,0.982,0.984,0.983,0.984,0.981
60,0.989,0.985,0.979,0.985,0.987,0.987,0.988,0.988,0.990,0.987,0.990,0.989
65,0.993,0.991,0.986,0.990,0.992,0.991,0.995,0.995,0.993,0.991,0.992,0.993
70,0.995,0.996,0.990,0.994,0.996,0.995,0.998,0.996,0.996,0.994,0.996,0.997
75,0.997,0.998,0.994,0.996,0.996,0.996,0.998,0.998,0.998,0.996,0.998,0.998
80,0.999,1.002,0.993,1.000,0.999,0.999,1.002,1.000,1.000,0.999,1.000,0.998
85,0.999,1.002,0.994,0.999,1.000,1.001,1.002,1.000,1.002,0.999,1.000,0.998
90,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
95,0.999,1.001,0.994,1.000,1.001,1.003,1.002,1.000,1.000,0.999,1.001,0.999
100,0.999,1.000,0.994,0.999,1.000,1.000,1.002,0.998,1.000,0.996,0.999,0.995
105,0.999,0.998,0.993,0.996,0.998,0.998,1.002,0.999,1.000,0.998,0.997,0.998
110,0.996,0.995,0.991,0.993,0.994,0.992,0.995,0.994,0.991,0.994,0.994,0.993
115,0.993,0.992,0.985,0.988,0.990,0.991,0.994,0.991,0.992,0.991,0.992,0.991
120,0.990,0.989,0.981,0.984,0.983,0.986,0.987,0.987,0.987,0.987,0.989,0.983
125,0.985,0.982,0.973,0.979,0.979,0.980,0.981,0.982,0.984,0.981,0.984,0.983
130,-,0.971,0.964,0.970,0.971,0.972,0.976,0.974,0.977,0.976,0.978,0.978
135,-,0.962,0.954,0.959,0.962,0.963,0.965,0.965,0.966,0.968,0.969,0.971
140,-,0.950,0.939,0.946,0.949,0.952,0.956,0.955,0.959,0.959,0.963,0.962
145,-,0.933,0.924,0.929,0.932,0.934,0.940,0.942,0.948,0.948,0.952,0.951
150,-,0.911,0.901,0.908,0.913,0.915,0.922,0.927,0.933,0.936,0.940,0.942
