TG-43 Brachytherapy Source Data
-------------------------------
Version: 1
Reference: https://physics.carleton.ca/clrp/seed_database/Ir192_HDR/GammaMed_Plus
Type: HDR
Nuclide: Ir-192
Vendor: GammaMed
Model: Plus
Dose Rate Constant: 1.115
Source Length (cm): 0.35

Radial Dose Function
--------------------
0.20,0.988,0.820
0.25,0.989,0.872
0.30,0.990,0.906
0.40,0.993,0.945
0.50,0.992,0.964
0.60,0.993,0.976
0.70,0.993,0.983
0.75,0.994,0.986
0.80,0.997,0.991
0.90,0.996,0.993
1.00,1.000,1.000
1.25,0.998,1.002
1.50,1.000,1.006
1.75,1.001,1.008
2.00,1.004,1.011
2.50,1.003,1.011
3.00,1.005,1.014
3.50,1.004,1.013
4.00,1.003,1.012
4.50,1.003,1.013
5.00,0.998,1.008
6.00,0.992,1.002
7.00,0.983,0.993
8.00,0.969,0.979
9.00,0.956,0.965
10.00,0.938,0.948
11.00,0.919,0.928
12.00,0.897,0.906
13.00,0.874,0.882
14.00,0.850,0.858
15.00,0.823,0.832
16.00,0.796,0.804
17.00,0.769,0.777
18.00,0.740,0.748
19.00,0.712,0.719
20.00,0.684,0.691
end radial dose function data

Anisotropy Function
-------------------
0,0.25,0.50,1.00,2.00,3.00,4.00,5.00,7.50,10.00,12.50,15.00,20.00
0,-,0.657,0.618,0.627,0.648,0.673,0.695,0.740,0.773,0.799,0.821,0.851
1,-,0.655,0.617,0.631,0.654,0.678,0.700,0.744,0.777,0.802,0.821,0.851
2,-,0.654,0.617,0.640,0.666,0.688,0.712,0.753,0.785,0.808,0.827,0.854
3,-,0.653,0.631,0.653,0.679,0.702,0.722,0.762,0.793,0.813,0.832,0.857
5,-,0.668,0.656,0.678,0.700,0.720,0.738,0.776,0.802,0.822,0.840,0.862
7,-,0.694,0.685,0.704,0.726,0.743,0.761,0.794,0.817,0.836,0.851,0.872
10,-,0.733,0.727,0.744,0.763,0.780,0.794,0.821,0.840,0.855,0.867,0.882
12,-,0.762,0.756,0.771,0.786,0.800,0.812,0.835,0.853,0.865,0.878,0.892
15,-,0.800,0.790,0.804,0.817,0.828,0.839,0.858,0.872,0.881,0.891,0.903
20,-,0.851,0.846,0.851,0.862,0.871,0.879,0.890,0.900,0.906,0.912,0.923
25,-,0.888,0.877,0.886,0.893,0.898,0.904,0.912,0.919,0.924,0.929,0.937
30,-,0.911,0.902,0.911,0.916,0.919,0.922,0.931,0.933,0.937,0.942,0.946
35,-,0.934,0.927,0.932,0.936,0.940,0.942,0.949,0.952,0.952,0.956,0.959
40,-,0.952,0.942,0.948,0.951,0.953,0.955,0.959,0.959,0.961,0.963,0.969
45,-,0.962,0.958,0.960,0.963,0.966,0.967,0.969,0.971,0.971,0.972,0.971
50,-,0.973,0.969,0.971,0.973,0.976,0.979,0.979,0.978,0.978,0.980,0.978
55,0.986,0.980,0.972,0.978,0.981,0.983,0.984,0.984,0.985,0.984,0.984,0.982
60,0.990,0.986,0.980,0.985,0.987,0.989,0.990,0.991,0.990,0.988,0.990,0.990
65,0.993,0.990,0.986,0.991,0.993,0.994,0.996,0.996,0.995,0.992,0.992,0.995
70,0.996,0.995,0.992,0.994,0.997,0.997,0.999,0.997,0.996,0.995,0.997,0.997
75,0.998,0.997,0.996,0.996,0.997,0.998,1.000,1.000,0.997,0.996,0.998,0.999
80,1.000,1.001,0.995,0.999,1.000,1.000,1.000,1.001,0.999,0.999,0.999,0.998
85,1.000,1.001,0.996,0.999,1.000,1.002,1.002,1.002,1.000,0.999,1.000,0.999
90,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
95,1.000,1.000,0.994,0.999,1.001,1.003,1.002,1.002,1.002,0.999,1.000,0.999
100,1.000,0.999,0.996,0.998,1.001,1.004,1.002,0.998,1.001,0.997,0.999,0.998
105,0.999,0.998,0.994,0.995,0.997,0.999,1.001,1.001,0.999,0.999,0.997,0.999
110,0.996,0.995,0.991,0.993,0.993,0.993,0.996,0.994,0.992,0.994,0.994,0.994
115,0.994,0.992,0.988,0.988,0.990,0.994,0.994,0.991,0.993,0.992,0.993,0.993
120,0.990,0.988,0.983,0.984,0.985,0.987,0.988,0.989,0.989,0.987,0.990,0.987
125,0.986,0.981,0.976,0.979,0.982,0.983,0.982,0.983,0.984,0.982,0.984,0.985
130,-,0.971,0.967,0.971,0.973,0.975,0.975,0.977,0.977,0.978,0.978,0.977
135,-,0.963,0.958,0.961,0.964,0.966,0.967,0.968,0.969,0.970,0.971,0.973
140,-,0.950,0.943,0.948,0.951,0.954,0.957,0.959,0.961,0.961,0.965,0.965
145,-,0.935,0.928,0.932,0.936,0.939,0.942,0.946,0.950,0.950,0.955,0.953
150,-,0.915,0.906,0.911,0.916,0.920,0.923,0.931,0.936,0.939,0.943,0.947
