TG-43 Brachytherapy Source Data
-------------------------------
Reference: https://physics.carleton.ca/clrp/seed_database/Ir192_HDR/SPEC_M19
Type: HDR
Nuclide: Ir-192
Vendor: S.P.E.C. Inc.
Model: Co.
Dose Rate Constant: 1.114
Source Length (cm): 0.35

Radial Dose Function
--------------------
0.20,0.990,0.822
0.25,0.993,0.875
0.30,0.993,0.908
0.40,0.994,0.947
0.50,0.995,0.967
0.60,0.992,0.975
0.70,0.996,0.986
0.75,0.998,0.990
0.80,0.996,0.990
0.90,0.997,0.995
1.00,1.000,1.000
1.25,1.000,1.004
1.50,1.001,1.007
1.75,1.003,1.010
2.00,1.004,1.012
2.50,1.007,1.015
3.00,1.008,1.017
3.50,1.005,1.014
4.00,1.003,1.013
4.50,1.002,1.012
5.00,0.999,1.008
6.00,0.994,1.003
7.00,0.984,0.993
8.00,0.969,0.979
9.00,0.956,0.965
10.00,0.939,0.949
11.00,0.920,0.929
12.00,0.898,0.907
13.00,0.874,0.883
14.00,0.849,0.858
15.00,0.823,0.831
16.00,0.796,0.804
17.00,0.768,0.776
18.00,0.741,0.748
19.00,0.711,0.718
20.00,0.685,0.692
end radial dose function data

Anisotropy Function
-------------------
0,0.25,0.50,1.00,2.00,3.00,4.00,5.00,7.50,10.00,12.50,15.00,20.00
0,-,0.661,0.624,0.633,0.654,0.676,0.701,0.741,0.774,0.800,0.821,0.848
1,-,0.662,0.623,0.636,0.657,0.681,0.704,0.746,0.777,0.802,0.822,0.849
2,-,0.661,0.624,0.643,0.667,0.692,0.712,0.754,0.783,0.807,0.827,0.850
3,-,0.660,0.633,0.654,0.678,0.703,0.725,0.762,0.790,0.812,0.830,0.856
5,-,0.671,0.659,0.681,0.703,0.724,0.744,0.777,0.801,0.823,0.840,0.863
7,-,0.695,0.685,0.704,0.723,0.743,0.759,0.793,0.816,0.834,0.848,0.867
10,-,0.732,0.725,0.740,0.757,0.775,0.789,0.818,0.836,0.852,0.865,0.877
12,-,0.756,0.750,0.765,0.778,0.795,0.807,0.831,0.848,0.862,0.874,0.888
15,-,0.790,0.787,0.797,0.809,0.821,0.830,0.853,0.867,0.879,0.887,0.898
20,0.882,0.841,0.835,0.844,0.852,0.863,0.870,0.884,0.894,0.902,0.910,0.918
25,0.913,0.878,0.873,0.878,0.883,0.891,0.897,0.907,0.914,0.919,0.926,0.931
30,0.935,0.905,0.898,0.906,0.911,0.917,0.920,0.928,0.929,0.936,0.940,0.944
35,0.950,0.927,0.924,0.926,0.929,0.935,0.941,0.944,0.948,0.948,0.953,0.955
40,0.961,0.946,0.941,0.943,0.944,0.951,0.953,0.955,0.955,0.959,0.960,0.964
45,0.970,0.959,0.955,0.958,0.960,0.963,0.964,0.966,0.968,0.967,0.968,0.969
50,0.977,0.967,0.966,0.968,0.968,0.972,0.975,0.977,0.976,0.975,0.977,0.977
55,0.984,0.977,0.975,0.975,0.977,0.981,0.984,0.983,0.982,0.981,0.983,0.980
60,0.988,0.983,0.980,0.983,0.984,0.987,0.987,0.988,0.987,0.987,0.988,0.986
